id,ts,asset,dir,entry,size,edge,left,ref,outcome,pnl,pps,pair,follower,in_0.51_0.60,in_0.51_0.80
827,2026-09-01T09:35:02,ETH,UP,0.746,200.0,6.3,10m left,2447.73,WIN,50.8,0.254,True,False,False,True
828,2026-09-01T09:35:19,BTC,UP,0.711,200.0,4.4,10m left,77877.32,WIN,57.8,0.289,True,True,False,True
831,2026-09-01T14:35:36,ETH,DOWN,0.614,200.0,6.3,9m left,2443.66,WIN,77.2,0.386,False,False,False,True
833,2026-09-01T15:35:59,BTC,UP,0.755,200.0,8.0,9m left,78231.03,WIN,49.0,0.245,False,False,False,True
835,2026-09-01T18:21:25,BTC,UP,0.797,200.0,6.4,9m left,77501.2,LOSS,-159.4,-0.797,False,False,False,True
837,2026-09-01T19:35:37,BTC,DOWN,0.801,200.0,7.8,9m left,77027.11,WIN,39.8,0.19899999999999998,False,False,False,False
839,2026-09-01T20:03:59,BTC,UP,0.562,200.0,8.3,11m left,77136.38,WIN,87.6,0.43799999999999994,True,False,True,True
840,2026-09-01T20:05:30,ETH,UP,0.708,200.0,7.3,9m left,2412.38,WIN,58.4,0.292,True,True,False,True
843,2026-09-01T23:33:04,ETH,DOWN,0.588,200.0,8.3,12m left,2407.11,WIN,82.4,0.41200000000000003,False,False,True,True
844,2026-09-01T23:36:16,BTC,UP,0.759,200.0,8.4,9m left,77052.02,WIN,48.2,0.24100000000000002,False,False,False,True
847,2026-09-02T16:06:02,BTC,UP,0.668,200.0,6.7,9m left,77040.04,LOSS,-133.6,-0.6679999999999999,False,False,False,True
848,2026-09-02T16:07:33,ETH,DOWN,0.704,200.0,7.3,7m left,2394.02,WIN,59.2,0.29600000000000004,False,False,False,True
851,2026-09-02T17:38:10,ETH,DOWN,0.746,200.0,6.5,7m left,2397.41,WIN,50.8,0.254,False,False,False,True
853,2026-09-02T18:47:11,ETH,UP,0.753,200.0,6.8,13m left,2388.7,WIN,49.4,0.247,True,False,False,True
854,2026-09-02T18:47:15,BTC,UP,0.651,200.0,7.8,13m left,77281.1,WIN,69.8,0.349,True,True,False,True
857,2026-09-02T20:32:21,ETH,DOWN,0.758,200.0,4.1,13m left,2386.79,WIN,48.4,0.242,False,False,False,True
859,2026-09-03T01:15:44,BTC,DOWN,0.717,200.0,7.2,14m left,77160.37,WIN,56.6,0.28300000000000003,False,False,False,True
861,2026-09-03T03:19:05,BTC,UP,0.558,200.0,7.0,11m left,77464.29,WIN,88.4,0.442,True,False,True,True
862,2026-09-03T03:19:19,ETH,UP,0.504,200.0,8.4,11m left,2390.41,WIN,99.2,0.496,True,True,False,False
865,2026-09-03T04:23:16,ETH,DOWN,0.726,200.0,7.5,7m left,2407.15,WIN,54.8,0.27399999999999997,False,False,False,True
867,2026-09-03T12:05:59,BTC,UP,0.731,200.0,7.7,9m left,77715.55,WIN,53.8,0.26899999999999996,True,False,False,True
868,2026-09-03T12:06:03,ETH,UP,0.704,200.0,7.2,9m left,2395.83,WIN,59.2,0.29600000000000004,True,True,False,True
871,2026-09-03T12:36:09,BTC,DOWN,0.719,200.0,7.8,9m left,77893.95,LOSS,-143.8,-0.7190000000000001,False,False,False,True
873,2026-09-03T15:07:14,ETH,UP,0.782,200.0,6.8,8m left,2429.39,WIN,43.6,0.218,False,False,False,True
875,2026-09-03T15:46:01,ETH,UP,0.684,200.0,7.3,14m left,2456.54,WIN,63.2,0.316,True,False,False,True
876,2026-09-03T15:46:05,BTC,UP,0.772,200.0,8.0,14m left,79758.15,WIN,45.6,0.228,True,True,False,True
879,2026-09-03T16:21:17,BTC,UP,0.692,200.0,7.0,9m left,80552.95,WIN,61.6,0.308,False,False,False,True
881,2026-09-03T18:20:20,BTC,DOWN,0.737,200.0,8.6,10m left,81101.77,WIN,52.6,0.263,False,False,False,True
883,2026-09-03T20:54:32,ETH,DOWN,0.7,200.0,6.8,5m left,2516.15,LOSS,-140.0,-0.7,False,False,False,True
885,2026-09-04T03:47:11,BTC,DOWN,0.719,200.0,8.0,13m left,80750.11,LOSS,-143.8,-0.7190000000000001,False,False,False,True
887,2026-09-04T05:45:24,BTC,UP,0.515,200.0,5.8,15m left,81045.22,WIN,97.0,0.485,False,False,True,True
888,2026-09-04T05:45:39,ETH,DOWN,0.585,200.0,7.0,14m left,2512.29,WIN,83.0,0.415,False,False,True,True
891,2026-09-04T13:52:21,BTC,UP,0.381,200.0,5.6,8m left,79728.56,LOSS,-76.2,-0.381,False,False,False,False
893,2026-09-04T16:36:56,BTC,UP,0.694,200.0,8.5,8m left,79408.45,WIN,61.2,0.306,True,False,False,True
